species,Pioneering,Expansion, Stability,Unfilling ,Abandonment ,sum,Pioneering,Expansion, Stability,Unfilling ,Abandonment 
Matapa_aria_category_quantity,1.111108129,10.03941714,62.66268183,14.84137626,0.22405886,88.87864222,1.250140755,11.29564639,70.50364437,16.69847321,0.252095278
Megisba_malaya_category_quantity,0.841774233,6.599282875,50.14122234,33.91084588,0.579002393,92.07212772,0.914255219,7.16751425,54.45863323,36.8307399,0.628857405
Melanitis_leda_category_quantity,0.671046833,4.278756451,44.7462371,7.106671735,0.278889126,57.08160125,1.175592167,7.495859187,78.38994724,12.45002169,0.488579717
Melanitis_phedima_category_quantity,0.455349633,4.270662705,29.7023787,5.966134618,0.393288481,40.78781414,1.116386457,10.47043779,72.82169768,14.62724773,0.964230345
Mycalesis_horsfieldii_category_quantity,0,15.50336895,22.0779614,10.08881322,9.384293276,57.05443685,0,27.17294186,38.69630939,17.68278468,16.44796408
Mycalesis_mineus_category_quantity,1.851834489,1.562119503,89.12191308,29.95442512,1.348748398,123.8390406,1.495355972,1.26141118,71.96592662,24.18819217,1.089114056
Mycalesis_perseoides_category_quantity,1.050433029,10.68129973,41.6860147,2.171840924,18.36366232,73.9532507,1.420401428,14.44331335,56.36806267,2.936775467,24.83144709
Mycalesis_perseus_category_quantity,2.193855137,2.244364574,83.47360922,13.23376798,0.472498283,101.6180952,2.158921728,2.208626888,82.14443408,13.02304275,0.464974552
Nacaduba_kurava_category_quantity,0.39801427,5.263406227,48.51230054,43.86769077,2.447104212,100.488516,0.396079359,5.237818644,48.27646229,43.65443188,2.435207832
Neope_muirheadii_category_quantity,0,4.248708471,20.86461081,2.970670789,4.083364621,32.16735469,0,13.2081376,64.86268769,9.235048444,12.69412627
Neopithecops_zalmora_category_quantity,0.921046306,24.29134981,63.69938147,25.27150953,2.183960286,116.3672474,0.791499607,20.87473095,54.73995724,21.71702957,1.87678263
Neptis_clinia_category_quantity,0.106553356,5.489278084,32.55470967,18.74402641,1.963105354,58.85767287,0.181035625,9.326359361,55.31090184,31.84636003,3.335343139
Neptis_hylas_category_quantity,1.612914026,3.648967592,68.30388901,12.48473597,1.433655744,87.48416234,1.843664022,4.171003636,78.07571929,14.27085273,1.638760326
Neptis_sappho_category_quantity,9.83E-06,6.926265245,10.08519001,2.435367871,4.069672478,23.51650543,4.18004E-05,29.4527827,42.8855811,10.35599391,17.30560048
Notocrypta_curvifascia_category_quantity,2.375778574,6.368609573,78.51717756,70.80109558,0.222781473,158.2854428,1.500945717,4.023496704,49.60480016,44.73001076,0.140746659
Notocrypta_paralysos_category_quantity,0.721536151,8.027664546,57.52210793,24.03636669,1.98163443,92.28930975,0.781819859,8.698368823,62.3280292,26.04458388,2.147198235
Odontoptilum_angulata_category_quantity,0.097741582,7.849034971,32.20410415,17.37175898,2.151478456,59.67411814,0.163792252,13.15316458,53.96661929,29.11104432,3.605379557
Orsotriaena_medus_category_quantity,0.979583998,11.86125945,56.71856762,32.25998561,7.109467074,108.9288638,0.899287814,10.88899585,52.06936497,29.61564502,6.526706356
